iter	Passed	Remaining
0	3	3801
1	7	3661
2	10	3597
3	14	3601
4	17	3502
5	21	3482
6	24	3443
7	27	3418
8	31	3431
9	34	3380
10	36	3318
11	39	3290
12	43	3273
13	46	3260
14	49	3243
15	52	3214
16	55	3211
17	59	3228
18	62	3209
19	65	3208
20	69	3224
21	72	3220
22	75	3220
23	79	3224
24	82	3225
25	86	3222
26	89	3221
27	92	3207
28	95	3212
29	99	3211
30	102	3209
31	106	3221
32	109	3208
33	113	3214
34	116	3206
35	119	3195
36	122	3197
37	126	3189
38	128	3174
39	132	3174
40	135	3176
41	138	3165
42	141	3154
43	144	3140
44	147	3134
45	150	3127
46	153	3121
47	156	3112
48	160	3107
49	163	3099
50	166	3101
51	170	3101
52	172	3087
53	175	3080
54	179	3077
55	181	3067
56	184	3058
57	187	3048
58	190	3045
59	193	3033
60	197	3033
61	200	3029
62	203	3028
63	206	3027
64	210	3026
65	213	3019
66	216	3020
67	220	3016
68	223	3009
69	226	3005
70	229	2996
71	232	2996
72	235	2996
73	239	2997
74	242	2992
75	245	2990
76	249	2989
77	252	2988
78	256	2986
79	259	2982
80	262	2981
81	265	2974
82	269	2975
83	272	2972
84	275	2966
85	278	2957
86	282	2965
87	285	2961
88	289	2958
89	292	2952
90	295	2950
91	298	2946
92	301	2944
93	304	2939
94	308	2937
95	311	2933
96	314	2930
97	318	2929
98	321	2927
99	324	2922
100	327	2915
101	330	2908
102	333	2907
103	336	2901
104	341	2912
105	344	2908
106	348	2904
107	351	2901
108	354	2897
109	358	2896
110	361	2895
111	364	2893
112	367	2887
113	371	2885
114	374	2881
115	377	2877
116	380	2873
117	383	2870
118	386	2864
119	389	2859
120	393	2857
121	396	2851
122	399	2847
123	402	2846
124	405	2841
125	409	2837
126	412	2835
127	415	2831
128	418	2827
129	422	2824
130	425	2823
131	429	2821
132	432	2821
133	435	2816
134	438	2810
135	442	2808
136	445	2808
137	448	2803
138	451	2798
139	454	2794
140	458	2792
141	461	2789
142	464	2784
143	468	2784
144	471	2782
145	474	2777
146	478	2775
147	481	2773
148	484	2769
149	488	2766
150	491	2765
151	494	2761
152	498	2758
153	501	2755
154	504	2752
155	508	2749
156	511	2747
157	515	2745
158	518	2742
159	521	2738
160	524	2735
161	528	2732
162	531	2729
163	534	2724
164	537	2720
165	540	2717
166	544	2714
167	547	2712
168	550	2709
169	554	2705
170	557	2702
171	560	2699
172	563	2696
173	567	2693
174	570	2691
175	573	2687
